 fox-2 (ID=224)                , 90.93             ,
 fox-3 (ID=225)                , 85.51             ,
 fox-5 (ID=226)                , 77.27             ,
 fox-20 (ID=227)               , 79.04             ,
 giraffe-2 (ID=228)            , 88.11             ,
 giraffe-10 (ID=229)           , 88.41             ,
 giraffe-13 (ID=230)           , 46.19             ,
 giraffe-15 (ID=231)           , 56.71             ,
 gorilla-4 (ID=232)            , 49.44             ,
 gorilla-6 (ID=233)            , 93.66             ,
 gorilla-9 (ID=234)            , 80.46             ,
 gorilla-13 (ID=235)           , 75.69             ,
 hippo-1 (ID=236)              , 88.78             ,
 hippo-7 (ID=237)              , 91.49             ,
 hippo-9 (ID=238)              , 89.28             ,
 hippo-20 (ID=239)             , 90.97             ,
 horse-1 (ID=240)              , 89.74             ,
 horse-4 (ID=241)              , 90.50             ,
 horse-12 (ID=242)             , 89.76             ,
 horse-15 (ID=243)             , 82.22             ,
 kangaroo-2 (ID=244)           , 77.70             ,
 kangaroo-5 (ID=245)           , 52.43             ,
 kangaroo-11 (ID=246)          , 71.23             ,
 kangaroo-14 (ID=247)          , 69.84             ,
 leopard-1 (ID=248)            , 90.40             ,
 leopard-7 (ID=249)            , 86.49             ,
 leopard-16 (ID=250)           , 88.39             ,
 leopard-20 (ID=251)           , 74.35             ,
 lion-1 (ID=252)               , 86.60             ,
 lion-5 (ID=253)               , 61.25             ,
 lion-12 (ID=254)              , 72.16             ,
 lion-20 (ID=255)              , 78.74             ,
 lizard-1 (ID=256)             , 90.99             ,
 lizard-3 (ID=257)             , 83.15             ,
 lizard-6 (ID=258)             , 83.46             ,
 lizard-13 (ID=259)            , 83.71             ,
 microphone-2 (ID=260)         , 64.79             ,
 microphone-6 (ID=261)         , 49.90             ,
 microphone-14 (ID=262)        , 47.05             ,
 microphone-16 (ID=263)        , 86.83             ,
 monkey-3 (ID=264)             , 40.76             ,
 monkey-4 (ID=265)             , 62.28             ,
 monkey-9 (ID=266)             , 76.47             ,
 monkey-17 (ID=267)            , 81.35             ,
 shark-2 (ID=268)              , 39.86             ,
 shark-3 (ID=269)              , 80.16             ,
 shark-5 (ID=270)              , 76.52             ,
 shark-6 (ID=271)              , 81.47             ,
 squirrel-8 (ID=272)           , 69.33             ,
 squirrel-11 (ID=273)          , 72.90             ,
 squirrel-13 (ID=274)          , 54.51             ,
 squirrel-19 (ID=275)          , 89.63             ,
 volleyball-1 (ID=276)         , 74.31             ,
 volleyball-13 (ID=277)        , 57.63             ,
 volleyball-18 (ID=278)        , 27.94             ,
 volleyball-19 (ID=279)        , 20.85             ,
